TEMP	MOLEFRAC ETHYL-01	TOTAL PRES	TOTAL KVL ETHYL-01	TOTAL KVL N-HEP-01	LIQUID1 GAMMA ETHYL-01	LIQUID1 GAMMA N-HEP-01	LIQUID2 GAMMA ETHYL-01	LIQUID2 GAMMA N-HEP-01	TOTAL KVL2 ETHYL-01	TOTAL KVL2 N-HEP-01	TOTAL BETA	VAPOR MOLEFRAC ETHYL-01	VAPOR MOLEFRAC N-HEP-01	LIQUID1 MOLEFRAC ETHYL-01	LIQUID1 MOLEFRAC N-HEP-01	LIQUID2 MOLEFRAC ETHYL-01	LIQUID2 MOLEFRAC N-HEP-01
30	0.52	0.4874561	1.750812	0.1866218	1.143383	1.146598					1	0.9104215	0.0895784	0.52	0.48		
30	0.53	0.4931018	1.722213	0.1855906	1.137551	1.153097					1	0.9127724	0.0872275	0.53	0.47		
30	0.54	0.4987093	1.694578	0.1846273	1.131847	1.159785					1	0.9150714	0.0849285	0.54	0.46		
30	0.55	0.5042811	1.66786	0.1837294	1.12627	1.166669					1	0.9173218	0.0826782	0.55	0.45		
30	0.56	0.509819	1.642013	0.1828945	1.120818	1.173751					1	0.9195264	0.0804735	0.56	0.44		
30	0.57	0.5153254	1.616999	0.1821205	1.115491	1.181036					1	0.9216882	0.0783118	0.57	0.43		
30	0.58	0.5208022	1.592778	0.1814054	1.110288	1.188531					1	0.9238097	0.0761902	0.58	0.42		
30	0.59	0.5262526	1.569311	0.180747	1.105207	1.196239					1	0.9258937	0.0741062	0.59	0.41		
30	0.6	0.5316768	1.546571	0.1801442	1.10025	1.204166					1	0.9279423	0.0720576	0.6	0.4		
30	0.61	0.5370778	1.524521	0.1795951	1.095414	1.212318					1	0.9299579	0.070042	0.61	0.39		
30	0.62	0.5424576	1.503133	0.1790982	1.090699	1.220701					1	0.9319427	0.0680573	0.62	0.38		
30	0.63	0.5478183	1.482379	0.1786523	1.086104	1.22932					1	0.9338987	0.0661013	0.63	0.37		
30	0.64	0.5531619	1.462231	0.1782559	1.081629	1.238182					1	0.9358279	0.0641721	0.64	0.36		
30	0.65	0.5584906	1.442665	0.1779081	1.077274	1.247292					1	0.9377322	0.0622678	0.65	0.35		
30	0.66	0.5638063	1.423657	0.1776077	1.073037	1.256659					1	0.9396134	0.0603866	0.66	0.34		
30	0.67	0.5691112	1.405184	0.1773538	1.068919	1.266288					1	0.9414733	0.0585267	0.67	0.33		
30	0.68	0.5744072	1.387226	0.1771454	1.064919	1.276187					1	0.9433135	0.0566865	0.68	0.32		
30	0.69	0.5796964	1.369762	0.1769819	1.061036	1.286364					1	0.9451356	0.0548643	0.69	0.31		
